"","Type","Dur","Delta","Sur","Goal"
"14","fronted",0.039257301,37.901815,"fronted","info-seeking"
"296","fronted",0.129450678,7.440533951,"fronted","info-seeking"
"278","fronted",0.102894827,-22.4141593,"fronted","info-seeking"
"120","fronted",0.127657637,12.67563587,"fronted","info-seeking"
"63","fronted",0.161616114,-20.13844532,"fronted","info-seeking"
"241","fronted",0.091947345,-26.65340384,"fronted","info-seeking"
"219","fronted",0.244229208,-83.48742076,"fronted","info-seeking"
"90","fronted",0.171980784,3.642330393,"fronted","info-seeking"
"54","fronted",0.160136128,-6.495661366,"fronted","info-seeking"
"336","fronted",0.178606424,-5.109360345,"fronted","info-seeking"
"325","fronted",0.01682537,89.73869647,"fronted","info-seeking"
"12","fronted",0.121103135,14.860485,"fronted","info-seeking"
"103","fronted",0.079249081,45.43223183,"fronted","info-seeking"
"358","content",0.140563465,83.61464055,"in-situ","info-seeking"
"209","fronted",0.158040544,-42.15506737,"fronted","info-seeking"
"317","fronted",0.131549314,-16.87999519,"fronted","info-seeking"
"287","fronted",0.152016097,1.073970834,"fronted","info-seeking"
"46","fronted",0.072060141,-16.59600185,"fronted","info-seeking"
"376","echo",0.336263813,117.2141809,"in-situ","clarification"
"17","fronted",0.10272953,-21.0801629,"fronted","info-seeking"
"365","content",0.221413061,-27.67218729,"in-situ","info-seeking"
"187","fronted",0.175296596,30.78008815,"fronted","info-seeking"
"5","fronted",0.145661813,-6.457301153,"fronted","info-seeking"
"248","fronted",0.151457072,-2.571341113,"fronted","info-seeking"
"267","fronted",0.141545022,-14.32602259,"fronted","info-seeking"
"101","fronted",0.088453187,-5.256396004,"fronted","info-seeking"
"316","fronted",0.087098488,-25.41433597,"fronted","info-seeking"
"361","content",0.134235635,33.54867363,"in-situ","info-seeking"
"326","fronted",0.141518931,18.27613915,"fronted","info-seeking"
"306","fronted",0.100103715,8.719836466,"fronted","info-seeking"
"223","fronted",0.133704742,-14.86405415,"fronted","info-seeking"
"36","fronted",0.059272564,-16.49231833,"fronted","info-seeking"
"135","fronted",0.124986002,2.442761981,"fronted","info-seeking"
"277","fronted",0.110822916,-18.87577967,"fronted","info-seeking"
"286","fronted",0.113761291,-94.82821445,"fronted","info-seeking"
"28","fronted",0.12412484,-2.942869109,"fronted","info-seeking"
"298","fronted",0.093419396,-2.707823384,"fronted","info-seeking"
"285","fronted",0.125929782,18.38221257,"fronted","info-seeking"
"359","content",0.178386654,14.59192654,"in-situ","info-seeking"
"178","fronted",0.086382266,41.66457045,"fronted","info-seeking"
"234","fronted",0.150091776,-2.791941006,"fronted","info-seeking"
"354","content",0.243989779,1.637542052,"in-situ","info-seeking"
"180","fronted",0.064077487,54.2467834,"fronted","info-seeking"
"151","fronted",0.125771163,25.01888174,"fronted","info-seeking"
"37","fronted",0.063128374,8.967751139,"fronted","info-seeking"
"67","fronted",0.116857602,-17.33487886,"fronted","info-seeking"
"268","fronted",0.209457092,-40.28133618,"fronted","info-seeking"
"283","fronted",0.1754522,25.17354768,"fronted","info-seeking"
"225","fronted",0.152338747,-70.21946493,"fronted","info-seeking"
"25","fronted",0.174591432,-52.71224722,"fronted","info-seeking"
"332","fronted",0.087410843,-12.60704789,"fronted","info-seeking"
"222","fronted",0.104938758,87.80330039,"fronted","info-seeking"
