p_situ,mu_dur,sigmadur,mu_contour,sigmacontour,w,logw
0.973308227,136.1977373,3.813167278,-7.311819026,3.495234921,0.535997922,-0.628835608
0.688145744,109.2136414,1.255908201,-15.71930929,1.544279308,0.007064506,-5.553869392
0.570008461,83.38364403,0.583565434,-16.64499686,0.81651489,0.002869051,-6.419971339
0.114938008,134.8165631,4.08555824,-52.28744114,3.926247319,0.022603491,-4.03176943
0.614591712,98.66581489,0.729578507,12.82365375,0.51151275,0.003920502,-6.266420327
0.987838499,95.85620559,3.781085339,19.19647756,3.481320949,0.306239724,-1.198656025
0.008343907,254.0243471,4.071594518,52.04912153,4.504896601,0.120304288,-2.121097478
0.409206048,118.8413735,-0.574507905,-4.212165996,0.10671685,0.0007005,-9.411282595
0.237019504,86.24153533,0.19507267,22.92375728,1.194607447,0.00022594,-12.52876838
0.381263641,124.3091207,0.201963516,-20.45073767,0.104683871,7.40744E-05,-14.10668114
