Type,Dur,Delta,Sur,Goal
fronted,0.108494252,-18.67481824,fronted,info-seeking
fronted,0.082793736,-6.892598954,fronted,info-seeking
fronted,0.125331475,56.9196192,fronted,info-seeking
fronted,0.059520661,3.833307075,fronted,info-seeking
fronted,0.159354812,5.930075429,fronted,info-seeking
fronted,0.077385858,62.49708296,fronted,info-seeking
fronted,0.157153767,17.75975416,fronted,info-seeking
fronted,0.250464453,-43.80839946,fronted,info-seeking
fronted,0.191661744,-23.18286218,fronted,info-seeking
fronted,0.118083503,-14.57924207,fronted,info-seeking
fronted,0.068767384,44.98298277,fronted,info-seeking
fronted,0.203214524,14.15329257,fronted,info-seeking
fronted,0.178669539,15.61430631,fronted,info-seeking
fronted,0.034805771,5.266379341,fronted,info-seeking
fronted,0.146580455,-18.50948993,fronted,info-seeking
fronted,0.082618593,65.06001414,fronted,info-seeking
fronted,0.142798941,19.07725125,fronted,info-seeking
fronted,0.151122486,-68.83396122,fronted,info-seeking
fronted,0.111436359,26.33658449,fronted,info-seeking
fronted,0.124370266,-15.54698794,fronted,info-seeking
fronted,0.138913755,-36.77266899,fronted,info-seeking
fronted,0.145661813,-6.457301153,fronted,info-seeking
fronted,0.276945118,-35.28088363,fronted,info-seeking
fronted,0.036366146,-24.68246767,fronted,info-seeking
fronted,0.039339986,-20.97791359,fronted,info-seeking
fronted,0.187807205,-58.84865453,fronted,info-seeking
fronted,0.122736678,31.20328812,fronted,info-seeking
fronted,0.053332945,6.789213355,fronted,info-seeking
fronted,0.081761462,-39.28085879,fronted,info-seeking
fronted,0.049456818,46.04360311,fronted,info-seeking
fronted,0.169760702,16.53080358,fronted,info-seeking
fronted,-0.001384384,-9.207482478,fronted,info-seeking
fronted,0.169064016,33.2486518,fronted,info-seeking
fronted,0.077740402,32.64249564,fronted,info-seeking
fronted,0.107872264,30.62519412,fronted,info-seeking
fronted,0.135326765,25.88300376,fronted,info-seeking
fronted,0.13520943,21.07724884,fronted,info-seeking
fronted,0.169709386,-0.890289984,fronted,info-seeking
fronted,0.044959112,-9.595976822,fronted,info-seeking
fronted,0.119837552,-12.25378316,fronted,info-seeking
fronted,0.114086321,-23.46304764,fronted,info-seeking
fronted,0.112659326,-6.098537622,fronted,info-seeking
fronted,0.149316962,-43.82037588,fronted,info-seeking
fronted,0.159069507,78.6880651,fronted,info-seeking
fronted,0.099383411,44.40797239,fronted,info-seeking
